[2, ABE, BOM, US, IN
[5, ABE, DEL, US, IN
[1, ABE, HYD, US, IN
[1, ABE, LKO, US, IN
[1, ABE, VNS, US, IN
[14, ABQ, AMD, US, IN
[29, ABQ, ATQ, US, IN
[43, ABQ, BLR, US, IN
[160, ABQ, BOM, US, IN
[1, ABQ, BOS, US, US
[1, ABQ, CCJ, US, IN
[13, ABQ, CCU, US, IN
[9, ABQ, COK, US, IN
[185, ABQ, DEL, US, IN
[9, ABQ, DPS, US, ID
[2, ABQ, GOI, US, IN
[47, ABQ, HYD, US, IN
[1, ABQ, IDR, US, IN
[6, ABQ, IST, US, TR
[1, ABQ, JAI, US, IN
[4, ABQ, JTR, US, GR
[72, ABQ, MAA, US, IN
[23, ABQ, TRV, US, IN
[12, ACC, AMD, GH, IN
[4, ACC, BLR, GH, IN
[5, ACC, BOM, GH, IN
[7, ACC, LAX, GH, US
[1, AGS, HYD, US, IN
[1, AGS, IXU, US, IN
[1, AKL, BOM, NZ, IN
[3, AKL, DEL, NZ, IN
[2, AKL, SFO, NZ, US
[17, ALB, BOM, US, IN
[1, ALB, JFK, US, US
[1, ALB, MAA, US, IN
[1, ALS, MAA, US, IN
[9, AMD, ABQ, IN, US
[1, AMD, ADS, IN, US
[1182, AMD, ATL, IN, US
[240, AMD, AUS, IN, US
[2, AMD, BHX, IN, GB
[1, AMD, BJS, IN, CN
[3, AMD, BKK, IN, TH
[25, AMD, BNA, IN, US
[1, AMD, BOI, IN, US
[1, AMD, BOM, IN, IN
[810, AMD, BOS, IN, US
[13, AMD, BUF, IN, US
[42, AMD, BWI, IN, US
[2, AMD, CAK, IN, US
[1136, AMD, CHI, IN, US
[101, AMD, CLE, IN, US
[257, AMD, CLT, IN, US
[34, AMD, CMH, IN, US
[29, AMD, CVG, IN, US
[5, AMD, DAL, IN, US
[1, AMD, DAR, IN, TZ
[3, AMD, DAY, IN, US
[6, AMD, DCA, IN, US
[9, AMD, DEL, IN, IN
[35, AMD, DEN, IN, US
[755, AMD, DFW, IN, US
[1, AMD, DPS, IN, ID
[6, AMD, DSM, IN, US
[53, AMD, DTT, IN, US
[440, AMD, DTW, IN, US
[40, AMD, DXB, IN, AE
[3038, AMD, EWR, IN, US
[59, AMD, FLL, IN, US
[1, AMD, HKG, IN, HK
[21, AMD, HNL, IN, US
[267, AMD, HOU, IN, US
[900, AMD, IAD, IN, US
[964, AMD, IAH, IN, US
[55, AMD, IND, IN, US
[127, AMD, JAX, IN, US
[2515, AMD, JFK, IN, US
[28, AMD, LAS, IN, US
[1695, AMD, LAX, IN, US
[4, AMD, LGA, IN, US
[2, AMD, LHR, IN, GB
[1, AMD, LIT, IN, US
[78, AMD, MCI, IN, US
[242, AMD, MCO, IN, US
[4, AMD, MDW, IN, US
[8, AMD, MEM, IN, US
[114, AMD, MIA, IN, US
[1, AMD, MKE, IN, US
[4, AMD, MOB, IN, US
[1, AMD, MOW, IN, RU
[16, AMD, MSP, IN, US
[22, AMD, MSY, IN, US
[3, AMD, NBO, IN, KE
[2651, AMD, NYC, IN, US
[1, AMD, OAK, IN, US
[2, AMD, ONT, IN, US
[2150, AMD, ORD, IN, US
[31, AMD, ORL, IN, US
[11, AMD, PBI, IN, US
[41, AMD, PDX, IN, US
[259, AMD, PHL, IN, US
[309, AMD, PHX, IN, US
[100, AMD, PIT, IN, US
[3, AMD, PRG, IN, CZ
[1, AMD, PVD, IN, US
[182, AMD, RDU, IN, US
[3, AMD, RIC, IN, US
[13, AMD, ROC, IN, US
[1, AMD, SAC, IN, US
[45, AMD, SAN, IN, US
[6, AMD, SAT, IN, US
[2, AMD, SAV, IN, US
[1, AMD, SDF, IN, US
[537, AMD, SEA, IN, US
[4, AMD, SEL, IN, KR
[1705, AMD, SFO, IN, US
[1, AMD, SHA, IN, CN
[57, AMD, SJC, IN, US
[10, AMD, SLC, IN, US
[21, AMD, SMF, IN, US
[1, AMD, SNA, IN, US
[2, AMD, SRQ, IN, US
[38, AMD, STL, IN, US
[4, AMD, SYD, IN, AU
[1, AMD, TIJ, IN, MX
[4, AMD, TLH, IN, US
[214, AMD, TPA, IN, US
[263, AMD, WAS, IN, US
[1, AMD, YQY, IN, CA
[5, AMD, YYZ, IN, CA
[1, AMM, TRV, JO, IN
[1, AMS, AMD, NL, IN
[4, AMS, BLR, NL, IN
[8, AMS, BOM, NL, IN
[2, AMS, BOS, NL, US
[1, AMS, DEL, NL, IN
[1, AMS, SEA, NL, US
[14, ANC, BLR, US, IN
[18, ANC, BOM, US, IN
[2, ANC, CCU, US, IN
[175, ANC, DEL, US, IN
[2, ANC, GOI, US, IN
[2, ANC, HYD, US, IN
[1, ANC, IST, US, TR
[3, ANC, LGA, US, US
[2, ANC, MAA, US, IN
[1, ANC, TPA, US, US
[1, AOH, AMD, US, IN
[2, AQJ, DEL, JO, IN
[1, AST, COK, US, IN
[1, ATH, ABQ, GR, US
[2, ATH, ATL, GR, US
[2, ATH, DEL, GR, IN
[3, ATL, AKL, US, NZ
[6303, ATL, AMD, US, IN
[16, ATL, AMS, US, NL
[342, ATL, ATQ, US, IN
[14, ATL, AUH, US, AE
[19, ATL, BBI, US, IN
[2, ATL, BCN, US, ES
[543, ATL, BDQ, US, IN
[29, ATL, BHO, US, IN
[2, ATL, BHX, US, GB
[8, ATL, BKK, US, TH
[5330, ATL, BLR, US, IN
[16809, ATL, BOM, US, IN
[1, ATL, BRN, US, CH
[1, ATL, BUD, US, HU
[1, ATL, CAI, US, EG
[2, ATL, CAN, US, CN
[48, ATL, CCJ, US, IN
[870, ATL, CCU, US, IN
[26, ATL, CDG, US, FR
[93, ATL, CJB, US, IN
[1003, ATL, COK, US, IN
[1, ATL, CPH, US, DK
[2, ATL, DAC, US, BD
[1, ATL, DBV, US, HR
[12408, ATL, DEL, US, IN
[3, ATL, DOH, US, QA
[1, ATL, DUB, US, IE
[12, ATL, DXB, US, AE
[4, ATL, EWR, US, US
[7, ATL, FCO, US, IT
[2, ATL, FRA, US, DE
[5, ATL, GLA, US, GB
[307, ATL, GOI, US, IN
[1, ATL, GVA, US, CH
[6, ATL, HKG, US, HK
[12716, ATL, HYD, US, IN
[4, ATL, ICN, US, KR
[156, ATL, IDR, US, IN
[12, ATL, IST, US, TR
[3, ATL, IXC, US, IN
[5, ATL, IXE, US, IN
[14, ATL, IXU, US, IN
[39, ATL, JAI, US, IN
[7, ATL, JED, US, SA
[85, ATL, JFK, US, US
[2, ATL, JNB, US, ZA
[18, ATL, KBL, US, AF
[1, ATL, KEF, US, IS
[1, ATL, KHI, US, PK
[1, ATL, KUL, US, MY
[9, ATL, KWI, US, KW
[44, ATL, LHR, US, GB
[15, ATL, LKO, US, IN
[12, ATL, LON, US, GB
[8024, ATL, MAA, US, IN
[1, ATL, MAD, US, ES
[8, ATL, MAN, US, GB
[1, ATL, MCO, US, US
[4, ATL, MEL, US, AU
[1, ATL, MLE, US, MV
[1, ATL, MNL, US, PH
[235, ATL, NAG, US, IN
[27, ATL, NYC, US, US
[4, ATL, OPO, US, PT
[2, ATL, ORD, US, US
[24, ATL, PAR, US, FR
[4, ATL, PAT, US, IN
[2, ATL, PDX, US, US
[2, ATL, PHL, US, US
[250, ATL, PNQ, US, IN
[1, ATL, PRG, US, CZ
[4, ATL, RAJ, US, IN
[3, ATL, REK, US, IS
[3, ATL, RJA, US, IN
[5, ATL, ROM, US, IT
[1, ATL, SHA, US, CN
[2, ATL, SHJ, US, AE
[23, ATL, SIN, US, SG
[2, ATL, SRG, US, ID
[4, ATL, SXR, US, IN
[1, ATL, SYD, US, AU
[630, ATL, TRV, US, IN
[41, ATL, TRZ, US, IN
[2, ATL, TYO, US, JP
[4, ATL, VIE, US, AT
[2, ATL, VNS, US, IN
[237, ATL, VTZ, US, IN
[1, ATL, WAS, US, US
[2, ATL, YMQ, US, CA
[4, ATL, ZRH, US, CH
[3, ATQ, ABQ, IN, US
[14, ATQ, ATL, IN, US
[11, ATQ, AUS, IN, US
[2, ATQ, BDL, IN, US
[4, ATQ, BHM, IN, US
[2, ATQ, BNA, IN, US
[98, ATQ, BOS, IN, US
[6, ATQ, BWI, IN, US
[127, ATQ, CHI, IN, US
[5, ATQ, CLE, IN, US
[9, ATQ, CLT, IN, US
[3, ATQ, CMH, IN, US
[6, ATQ, CVG, IN, US
[1, ATQ, DAY, IN, US
[1, ATQ, DCA, IN, US
[2, ATQ, DEL, IN, IN
[28, ATQ, DEN, IN, US
[60, ATQ, DFW, IN, US
[6, ATQ, DOH, IN, QA
[2, ATQ, DTT, IN, US
[22, ATQ, DTW, IN, US
[95, ATQ, EWR, IN, US
[3, ATQ, FLL, IN, US
[3, ATQ, GLA, IN, GB
[26, ATQ, HNL, IN, US
[5, ATQ, HOU, IN, US
[57, ATQ, IAD, IN, US
[21, ATQ, IAH, IN, US
[2, ATQ, IND, IN, US
[2, ATQ, JAX, IN, US
[341, ATQ, JFK, IN, US
[2, ATQ, JTR, IN, GR
[1, ATQ, KUL, IN, MY
[12, ATQ, LAS, IN, US
[21, ATQ, LAX, IN, US
[6, ATQ, LHR, IN, GB
[1, ATQ, MCI, IN, US
[5, ATQ, MCO, IN, US
[1, ATQ, MEM, IN, US
[15, ATQ, MIA, IN, US
[4, ATQ, MKE, IN, US
[7, ATQ, MSP, IN, US
[315, ATQ, NYC, IN, US
[3, ATQ, OMA, IN, US
[149, ATQ, ORD, IN, US
[2, ATQ, PDX, IN, US
[13, ATQ, PHL, IN, US
[1, ATQ, PHX, IN, US
[1, ATQ, PIT, IN, US
[11, ATQ, RDU, IN, US
[1, ATQ, SAN, IN, US
[13, ATQ, SEA, IN, US
[210, ATQ, SFO, IN, US
[4, ATQ, SJC, IN, US
[8, ATQ, SLC, IN, US
[1, ATQ, SMF, IN, US
[4, ATQ, STL, IN, US
[2, ATQ, TPA, IN, US
[22, ATQ, WAS, IN, US
[1, ATW, BOM, US, IN
[1, ATW, CAN, US, CN
[1, ATW, IDR, US, IN
[3, AUH, CHI, AE, US
[5, AUH, DEL, AE, IN
[2, AUH, JFK, AE, US
[1, AUH, JNB, AE, ZA
[2, AUH, NYC, AE, US
[327, AUS, AMD, US, IN
[47, AUS, ATQ, US, IN
[5, AUS, BBI, US, IN
[4, AUS, BDQ, US, IN
[2, AUS, BHO, US, IN
[1543, AUS, BLR, US, IN
[1963, AUS, BOM, US, IN
[5, AUS, CCJ, US, IN
[211, AUS, CCU, US, IN
[1, AUS, CDG, US, FR
[2, AUS, CJB, US, IN
[1, AUS, CNX, US, TH
[173, AUS, COK, US, IN
[2838, AUS, DEL, US, IN
[1, AUS, DUB, US, IE
[4, AUS, DXB, US, AE
[19, AUS, GOI, US, IN
[1, AUS, HNL, US, US
[1838, AUS, HYD, US, IN
[1, AUS, IDR, US, IN
[1, AUS, IST, US, TR
[2, AUS, IXZ, US, IN
[13, AUS, JAI, US, IN
[1, AUS, JED, US, SA
